Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
TABLA 2. PRODUCCIÓN OBTENIDA DE LOS PRINCIPALES PRODUCTOS AGRÍCOLAS TOTAL NACIONAL 1987 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Toneladas)
Años,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
Cultivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transitorios,7812330,8155820,8855370,8753150,8349403.9,7653453.648999998,8063789.236,8250352.9805999985,8083909.753766666,7820898.760899998,8126563.8473000005,7329906.512500001,8240218.7650999995,8798191.1699,8718683.39526711,8305049.7304,8704760.336,9093357.898999998,8468913.720999999,8764013.77,8766221.3,9000500.9,9405469.425,8899319.5,8748600.45,9046548.840000002,9107485.0,9001167.710925762,9500444.734659372,10412198.960421348,11207369.188997913
Banano exportación,1090950,1140000,1156920,1243614,1521332,1629400,1808007,1845012,1513236,1406511,1524620,1435753,1649666.7,1523983,1375315,1424313,1399621,1395709,1503098,1519386,1641013.0,1831064.0,1767674.0,1735551.0,1802407.0,1592300.0,1742737.0,1493013.0,1707657.0,1664312.0,1786206
Cacao,53680,54080,55430,56153,58141,54857,57472,50624.00000000001,54936.75,49635.25,48013.33,50685,51484.7,44544.33,43619.46,47894.15,49777.8,49678.43,49701.4,53699,57467.66,58690.75,59675.0,69003.0,74997.2,81369.3,78363.0,82811.0,86819.0,86691.0,91554
Caña Azúcar M/V,10851640,11087700,13695623,13830604,16864448,18880028,22033129,18598854,19725013.89692586,19972708.1,21143926,19031749,22373487.5,24778327.26,21275247,20712672,21837517,22352893,21956158,22198272.399999995,21238899.0,19300060.0,23614115.0,20272593.0,22748091.0,20836972.0,21584243.0,17367957.2,17367957.2,17367957.2,17367957.2
Caña Azúcar 1/,1397973,1474504.5045627619,1606782.5720486564,1669386.2828810464,1716429.0089826605,1893236.3346867738,1892678.397180122,2025965.765520343,2132663.670477121,2219183.322733801,2215269.353132145,2200544.059416472,2325133.913821534,2295303.2563,2152362.1272,2421870.2143,2530517.6103,2614672.3095,2551799.041,2293676.459,2152925.6182999993,1926108.5234,2464496.0001000003,1961735.1669,2208964.7484999998,2077653.483,2126645.8564999998,1910475.292,1910475.292,1910475.292,1910475.292
Plátano Exp.,74900,80380,80400,90900,104634,146385,153836,119375.3,120238.56,115824,99602,134414,157308,140837,130885,125415,127761,119531,130976,126089,112014.0,115970.0,121996.0,137814.0,129097.0,132992.0,131657.0,106642.0,109974.0,125830.0,113802
Total Tabaco Negro ,34870,35700,33710,32989,34338,27908,34320,26904.199999999997,25999.92,30412.5,23318.9,30235.7,26056.82,27766.88,26157.29,26400.300000000003,32593.300000000003,32903.149999999994,34721.08,31392,27588.1,21144.0,16257.0,18644.0,17838.0,22250.0,22603.0,23780.0,19605.0,14548.0,14610
Palma de Aceite,147000,198725,224000,251961,290856,290470,314680,376859.99600000004,420846.4,429262,456324,491198,501144,477940.2,502182,536924,565177.2999999999,622315.9,676666,717806,752158.0,815627.0,862623.0,929889.0,1074965.0,1137543.6,1206702.0,1354715.0,1445159.0,1563484.0,1738811
Arracacha,46200,48000,67100,80391,61409,58816,66996,77361.69,67981.7,57741.7,79847.7,69621.90000000001,91734.70000000001,85591.73999999999,101452.87,94900.8,95328.7,95749.65,94515.2,86600,76973.9,76889.0,49587.0,53799.0,76911.0,83071.0,74005.0,83513.0,77252.0,70594.0,97496
Caña Miel,0,0,0,0,0,31337,52051.96693815748,67028.9704191903,83904.03214536181,78622.84887631495,65426.31839974498,61871.96153490596,47884.92628817342,32423.014263627672,25500.80290898948,21364.926284985653,24475.885011475933,22508.120439910745,25038.15247210711,27439.182166082246,23529.0,21924.31,22869.0,14758.0,14409.922660055014,15179.0,14475.0,13704.0,14444.0,16154.0,18798
Caña Panela M/V,11759031.156149905,11476945.305826226,11230416.05420783,10926290,10925510,11756480,12367940,12394025,12547789,12517510,12895148,13096789,13019460,12934564.434750449,13338774.138716647,13918117,14344724,14470755,13445600,12359960,12723826.0,12150600.0,12004880.0,12279006.0,12169345.97339945,12610900.0,13390950.0,12260770.0,12236870.0,11475170.0,12545870
Caña Panela,1175903.1156149905,1147694.5305826226,1123041.605420783,1087424.5481768274,1086742.0941264983,1176910,1231762.0054058763,1235399.557122444,1249893.1810093925,1243472.4838398902,1279650.0188321057,1302068.5844567323,1295655.6075493249,1293456.4434750448,1333877.4138716648,1391811.7,1434472.4,1447075.5,1344560,1235996,1272382.6,1215060.0,1200488.0,1227900.6,1216934.597339945,1261090.0,1339095.0,1226077.0,1223687.0,1147517.0,1254587
Cocotero,88200,78470,88560,119308,129643,79163,70059,87212.2,92954.2,95252.7,83012.2,71298.6,93389.1,101239.1,97931.7,86107,92839.5,113600,117546,106612,112593.0,108929.0,101721.0,110354.0,112380.0,114685.0,113889.0,128195.0,128422.0,122567.0,142144
