TABLA 106. PRECIOS MENSUALES DE LOS PRINCIPALES FERTILIZANTES COMERCIALIZADOS EN COLOMBIA  2006 - 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,($/Ton)
Producto,UREA,DAP,KCL,15-15-15,17-6-18-2,18-18-18,13-26-6,10-30-10,10-20-20
Mes,,,,,,,,,
,,,,,,,,,
Marzo,873515.1943166708,999315.4108791973,623300.3259754921,788658.4663500088,751502.0375391186,817440.226898763,823464.5578357298,889272.9809795774,831937.227165406
Abril,893389.0917851873,1086018.1613826645,611984.5378988126,800737.758495186,767994.0496187512,856342.162603315,823127.116786783,901836.8976061954,828128.2499202802
Mayo,923541.8603772074,1130738.8516206674,623474.1287502209,861339.2963891504,802753.169975862,929229.8560731347,903474.7772035007,999874.8614877024,941212.7078948655
Junio,923551.4088533471,1106437.1937856053,673771.1846135212,847511.4950139683,793501.3640601282,942890.2576289268,922786.0422466022,998625.8614851956,927290.8985538032
Julio,888782.0983640312,1083893.7272948273,644038.431636595,857464.6933729505,802459.7932675497,936444.3225143593,910581.5351302436,992821.7330021819,893550.485810739
Agosto,872966.6976335186,1122442.3209272665,671877.5955717794,860551.7734753054,798498.0264385972,917763.7303376959,924732.0562601432,996893.9462331741,936569.5539800179
Septiembre,907057.9176621714,1213794.2212468875,700130.5501586605,862533.8959732065,803777.8083793698,924144.1177459948,909443.7792844509,1000080.8152890577,918801.4400169391
Octubre,974607.8631047403,1258315.7450326537,785691.0728219487,918252.4232509943,861424.6988816629,1009849.9618697062,979132.0493386217,1066624.194305681,965730.9715892762
Noviembre,974607.8631047403,1258315.7450326537,785691.0728219487,918252.4232509943,861424.6988816629,1009849.9618697062,979132.0493386217,1066624.194305681,965730.9715892762
Diciembre,974607.8631047403,1258315.7450326537,785691.0728219487,918252.4232509943,861424.6988816629,1009849.9618697062,979132.0493386217,1066624.194305681,965730.9715892762
2008,,,,,,,,,
Enero,1158664.6675264146,1528458.2110346453,1075611.7742660511,1086237.885623037,1003840.4105736439,1219572.5360817935,1186278.109307126,1237823.6803128354,1153871.0980487368
Febrero,1068590.0751923947,1850499.0728540982,1267300.1276502586,1193963.0929953582,1115508.2362899575,1370014.2092961723,1351605.0176060498,1397613.7340728526,1265988.3508670626
Marzo,1148581.4049627988,1915338.1574646202,1285124.9980006283,1281837.0296961893,1150468.1438502579,1380472.1823509096,1249561.030517024,1570020.643863179,1435086.9449047225
Abril,1076538.6134376656,2302622.087906426,1311327.0162214318,1285861.7337987712,1198460.655564289,1466379.296551724,1402839.3337761636,1582049.4566430964,1420511.0379176426
Mayo,990378.6216513185,2117599.5012242678,1266827.4923942103,1294239.9591702984,1202388.1569724719,1482562.420866506,1409471.5952999382,1559351.3304854026,1424467.6158700807
Junio,1004328.7114495616,2286518.1506722393,1262548.0700952564,1310043.9706921794,1223546.2198328907,1491218.7802948456,1498651.6980255516,1671243.4678760392,1443762.948134668
Julio,1013410.9165651393,2202162.0759227383,1265081.4065160435,1399561.3354640456,1252881.928217003,1614073.0491435672,1543357.3134572322,1738244.6691626718,1616937.8715096482
Agosto,1254022.1255200072,2324297.6289154426,1276236.4015189873,1556048.2136217677,1383077.2021938516,1843127.8294295527,1621379.7112819708,1885944.7377938516,1725473.5894621294
Septiembre,1831108.4434191508,2404264.0600797934,1804779.0793171427,1600756.6924298294,1444568.2548187596,1912969.5433516572,1650312.414429143,1952488.2293531066,1715669.9492250134
Octubre,1807230.7821316235,2405788.9513341016,2154847.9776866725,1801836.9333072559,1614922.5546966596,1991360.6231266093,1847533.1308641976,2207165.121071613,1996208.3529411764
