Partida,Descripcion Partida10 Dig,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
,,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$,Volumen,Miles US$
,,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB,(Toneladas),FOB
0708200000,"Frijoles (frejoles, porotos, alubias, judías) (vignas spp. y phaseolus spp), frescos o refrigerados.",92.17,77.32900000000001,0.17,0.27,0.8580000000000001,2.02,0,0,0,0,0.13,0.6639999999999999,0.583,2.09,0.462,1.454,0.039,0.12000000000000001,9.524999999999999,18.067999999999998,6.779,6.951,3.328,4.356999999999999,1.9009999999999998,2.0460000000000003,19.145,25.413999999999998,60.72239999999999,92.61392000000001,5.86402,8.12782,33.6072,50.82326,18.10506,46.284740000000006,205.82470999999998,298.32977999999997,12.00557,33.87574,16.429150000000003,57.06584,31.5141,108.24608,35.952839999999995,126.40225,53.22469,119.37229,18.745230000000003,61.87847,7.558049999999999,18.361050000000002,7.22267,27.4309
0708900000,"Las demás hortalizas (incluso silvestres) de vaina, aunque estén desvainadas, frescas o refrigeradas.",68.002,54.408,0,0,0,0,0.144,1.611,0,0,0.005,0.014,0.046,0.112,9.1,1.365,0,0,0.026,0.066,0.002,0.004,0.115,0.16499999999999998,0.414,0.495,4.134,10.149000000000001,0.88659,0.62696,1.54921,1.8664500000000002,381.88531000000006,455.63566000000003,100.05194,170.33372,0.144,0.108,0,0,0.2,0.0945,1.253,7.2946,10.93276,29.896499999999996,2.30716,5.34759,0.281,0.60195,1.9214200000000001,6.8981900000000005,0.4505,2.14967
0709100000,"Alcachofas (alcauciles), frescas o refrigeradas.",278.415,477.7199999999999,328.9079999999999,371.02,181.175,251.40800000000002,124.672,170.613,89.572,169.522,126.024,151.461,125.535,167.835,118.13900000000001,228.728,125.962,204.571,79.18900000000002,129.776,29.453,24.197000000000003,28.195999999999998,35.973,19.652,31.783999999999995,15.637,27.006,19.78613,40.19330000000001,25.34282,58.82234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0709200000,Espárragos frescos o refrigerados.,8.765,23.407,30.335,108.03400000000002,75.618,208.45400000000004,270.192,669.126,727.294,1995.002,1081.1460000000002,2757.4120000000003,1885.343,4541.2480000000005,2120.892,5368.781999999999,1458.774,3740.6189999999997,1048.706,2082.651,1158.604,1940.0179999999998,888.461,1545.716,826.411,1239.418,828.3340000000001,1550.835,732.3326800000001,1664.37484,512.6251199999999,1039.7636200000002,502.95734000000004,1293.8569800000002,219.75678999999997,489.09349,93.80595000000001,143.91418000000002,12.827490000000001,23.78391,15.32193,19.761750000000003,2.80026,6.87928,2.09496,6.37303,0.12367,0.79095,2.52799,0.17756,7.170999999999999,9.35375,0,0
0709300000,"Berenjenas, frescas o refrigeradas.",0.1,0.24,0,0,0,0,0,0,0,0,0,0,10.765,20.598999999999997,0.04,0.04,0,0,0.09399999999999999,0.072,0.6819999999999999,0.62,0.207,0.351,0.451,0.364,0.683,1.3179999999999998,2.1936199999999997,2.5189799999999996,1.5958100000000002,4.6638,1.68214,1.9818699999999998,2.7315299999999993,4.03351,1.0702099999999999,1.7011699999999998,0.1296,0.081,2.6527200000000004,3.12416,2.15348,3.42505,1.81773,2.4297,0.087,0.18357,0,0,3.904,9.493,0,0
0709400000,"Apio, excepto el apionabo, fresco o refrigerado.",3.6,1.08,247,148.2,0.653,0.829,0.608,0.326,0,0,0,0,0.006,0.036,88.30000000000001,42.094,0,0,117.39100000000002,29.068,0.019,0.01,0.325,0.135,2.268,1.2519999999999998,52.53,26.117,2.81147,2.46252,8.0783,12.175939999999999,7.69049,8.08637,13.509769999999998,16.470319999999997,17.3054,18.24574,9.814540000000001,11.94228,7.057119999999999,6.696269999999999,5.16756,7.74634,11.387469999999999,10.679820000000001,3.15858,3.0353399999999997,0.5881500000000001,0.5060500000000001,7.78425,14.07528,10.3161,9.17775
0709510000,"Hongos del género agaricus, frescos o refrigerados.",0,0,0,0,0,0,0,0,0.1,3,0,0,0.507,1.464,0,0,57.891,178.22299999999998,181.46099999999998,403.73100000000005,230.06699999999998,471.932,127.647,295.07,232.788,545.49,341.71999999999997,800.977,461.46235,1111.9101400000002,399.19901000000004,1095.89552,496.33644999999996,1408.7961900000003,484.65253,1478.2745799999998,476.53882999999996,1441.1136,515.6190999999999,1568.6486200000002,665.9133499999999,2108.27677,578.19277,1944.12409,555.8492200000001,1901.17486,487.64558,1498.22161,503.4206899999999,1479.12473,363.73262,880.6848800000001,360.72801000000004,902.16582
0709590000,"Los demás hongos, frescos o refrigerados.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.14,0,0,0,0,0,0,3.9918699999999996,15.197989999999999,0.16,0.096,0,0,0,0,0.252,1.554,73.06533,285.17699,97.98544,657.80002,75.67317000000001,484.01661,95.83493999999999,620.6304200000001,140.28143,882.19166,161.19544,1030.5953599999998
0709600000,"Frutos de los géneros ""capsicum"" o ""pimienta"", frescos o refrigerados.",0.349,0.30100000000000005,0,0,299.02,59.807,2.043,1.344,7.4750000000000005,6.824,0,0,0,0,3.01,1.505,173.483,58.905,53.573,14.652000000000001,181.29999999999998,163.31799999999998,149.61,127.218,57.395,51.508,86.432,78.28799999999998,11.3539,16.56372,48.20317000000001,114.51637,91.22414,191.70593000000002,83.53931999999999,182.26473,75.00026,157.14245000000003,90.79429999999999,208.64828,74.98343999999999,159.79077,88.89774000000001,186.28859,102.50308000000003,192.81455,40.436119999999995,202.54701,32.77119,92.47815,71.78255999999999,124.60749000000001,65.51830000000001,120.55962999999998
0709700000,"Espinacas (incluida la de Nueva Zelanda) y armuelles, frescas o refrigeradas.",0,0,0,0,4.2,0.84,0,0,0,0,0,0,0,0,0.182,0.051,0.418,1.171,0.274,0.595,0.048999999999999995,0.08499999999999999,0.266,0.331,0,0,2.55,5.09,6.3032,6.59876,4.756530000000001,9.914169999999999,6.31435,12.038420000000002,7.1888700000000005,29.41615,1.85892,6.07486,0.72011,2.2187,0.39776,0.85367,2.77895,5.1056099999999995,2.31185,6.04236,0.07442,0.32528999999999997,2.75787,10.43981,4.09557,10.334879999999998,9.91786,19.03937
