Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12, 
TABLA 89.  INDICE DE PRECIOS AL CONSUMIDOR. TOTAL NACIONAL. 1995 - 2017,,,,,,,,,,,,,
,,,,,,,,,,,,,
Años,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,
,,,,,,,,,,,,,
TOTAL NACIONAL,,,,,,,,,,,,,
1996,61.62894314738905,64.11131196374468,65.66056470708047,67.01122794510782,68.12001934974667,68.93474552537108,70.08427323879114,70.81116174860605,71.63734501107518,72.3756906077348,72.8696183517071,73.38009522112176,
1997,38.705687935056375,40.01874299207084,40.71992100740349,41.41514562449276,42.01048544883181,42.46757413618546,42.750029808399646,43.22167124701492,43.729033075090534,40.385869217079915,41.07117150376353,44.73912631038578,
1998,45.52100594635107,47.09534903738099,48.20400408803904,49.38277694023036,50.07932453470704,50.615130376612186,50.90618540184461,50.98357957900869,51.19657893838333,51.33218412059388,51.42214658293846,51.96258284569957,
1999,53.119155,54.077462,54.572327,55.013168,55.268724,55.405287,55.528183,55.796314,55.957816,56.137226,56.3732,56.667739,
2000,57.350644,58.651438,59.650064,60.187566,60.522286,60.550796,60.514843,60.699311,60.970461,61.128419,61.31811,61.597459,
2001,62.192427,63.346154,64.284606,65.030597,65.330382,65.382596,65.454851,65.634957,65.895631,66.02551,66.073991,66.30168,
2002,66.837883,67.697642,68.163787,68.799403,69.234998,69.483623,69.504915,69.582405,69.851775,70.225434,70.717676,70.908368,
2003,71.748642,72.551474,73.272526,74.07205,74.420204,74.367925,74.274965,74.531248,74.707817,74.776112,75.048611,75.513224,
2004,76.215354,77.152573,77.903891,78.277618,78.554208,78.979342,78.976332,79.029624,79.268434,79.256497,79.492516,79.777679,
2005,80.439468,81.189194,81.792794,82.174944,82.516404,82.859236,82.89186,82.908323,83.286049,83.470436,83.596525,83.698235,
2006,84.149396,84.83811,85.407536,85.802088,86.121675,86.414863,86.756723,87.094395,87.343938,87.21316,87.41278,87.593039,
2007,88.292112,89.416241,90.449637,91.244823,91.530705,91.687308,91.901408,91.770253,91.839054,91.874215,92.273882,92.72777,
2008,93.694052,95.139543,95.938058,96.597783,97.441112,98.242386,98.78356,99.07379,98.954034,99.289041,99.601078,100,
2009,100.597558,101.463898,101.955792,102.247485,102.268564,102.278226,102.257564,102.335342,102.2474,102.110496,102.057727,102.13121,
2010,102.817311,103.681622,103.920858,104.386179,104.526295,104.700732,104.65997,104.772153,104.65431,104.579152,104.769503,105.422967,
2011,106.362447,106.986546,107.299995,107.429708,107.709022,108.099315,108.245241,108.1428,108.471995,108.634718,108.76298,109.250959,
2012,110.037067,110.759586,110.899895,111.017437,111.337832,111.480655,111.448776,111.462727,111.773503,111.937961,111.819441,111.972088,
2013,112.317386,112.82185,113.027502,113.300725,113.604446,113.947538,113.977098,114.061386,114.453269,114.166626,113.939169,114.26934,
2014,114.787149,115.572771,115.998585,116.495115,117.04064,117.182075,117.331678,117.585821,117.755406,117.946896,118.115316,118.469263,
2015,119.119928,120.389533,121.013923,121.642919,122.116428,122.252719,122.458025,123.046358,123.885603,124.664495,125.413499,126.150924,
2016,127.654723,129.268647,130.446737,131.054573,131.71937,132.405308,132.971359,132.706319,132.656438,132.625259,132.797942,133.33318,
2017,134.703948,136.062735,136.70573,137.368163,137.677953,137.91155,137.790082,137.991578,138.05795,138.091546,138.376028,138.97091,
INGRESOS ALTOS,,,,,,,,,,,,,
1999,56.003626,56.747665,57.329849,57.768337,58.083832,58.314598,58.658159,58.915776,59.204655,59.502901,59.769143,59.98494,
2000,60.815126,62.13914,63.22536,63.709449,64.109684,64.043524,64.29218,64.544815,64.905302,64.87071,65.108718,65.459067,
2001,66.094111,67.141684,67.887587,68.585743,68.762364,68.786456,68.924311,69.012427,69.225654,69.419046,69.544041,69.60321,
2002,70.021237,70.724288,71.285119,71.913567,72.094037,72.362175,72.457344,72.536293,72.639799,72.929818,73.40871,73.615022,
2003,74.596971,75.636335,76.484265,77.113964,77.421417,77.653828,77.667711,77.966555,78.270941,78.332699,78.467399,78.780444,
2004,79.392618,80.216496,80.988683,81.228017,81.374091,81.911251,82.096596,82.202139,82.496913,82.482473,82.678069,82.865142,
2005,83.316516,84.279116,84.819114,85.104242,85.252915,85.384449,85.536814,85.661791,85.973388,86.135683,86.356177,86.426087,
2006,86.813054,87.372228,87.789349,88.060207,88.276141,88.637309,89.075176,89.451967,89.652461,89.518566,89.887038,90.212389,
2007,90.917792,91.744634,92.511314,93.14289,93.280025,93.360457,93.500592,93.658187,93.732057,93.839633,94.234594,94.617678,
2008,95.424338,96.407241,96.969002,97.590545,97.936875,98.324089,98.573073,98.923231,99.002198,99.430944,99.580041,100,
2009,100.41093,101.206546,101.683035,101.974227,101.830603,101.840457,101.989851,101.993947,101.896878,101.671713,101.623115,101.740767,
2010,102.112745,103.004141,103.118209,103.297427,103.320644,103.367802,103.430793,103.526703,103.391691,103.247132,103.34391,103.863754,
2011,104.501451,105.221172,105.492134,105.608166,105.729977,105.94796,106.014153,105.986914,106.168117,106.262379,106.346868,106.665446,
2012,107.273815,108.089766,108.266294,108.440629,108.500317,108.5217,108.492043,108.562325,108.953661,109.13128,108.982626,108.992783,
2013,109.255569,109.973207,110.279118,110.549688,110.657026,110.892585,110.995229,111.138582,111.548023,111.368864,111.175325,111.58944,
2014,112.146685,113.001803,113.262079,113.722166,114.127283,114.204968,114.286095,114.517347,114.703753,114.963225,114.974515,115.299225,
2015,115.92236,117.419803,117.883215,118.510578,118.810599,119.184433,119.501613,120.206845,121.161221,121.882571,122.447335,123.096131,
2016,124.395249,125.865071,126.725319,127.726148,128.268018,128.772687,129.397133,129.491199,129.757061,129.662772,129.689039,130.245239,
2017,131.579892,133.172667,133.852848,134.437065,134.754674,134.919654,134.904989,135.139915,135.434867,135.612169,135.812752,136.263757,
Fuente: DANE.  BASE: Dic. 08 = 100,,,,,,,,,,,,,
