               ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
                ,,,,,,,,,,,,,,,,,,
TABLA 93. PRECIOS DE LOS PRINCIPALES PRODUCTOS AGROPECUARIOS Y AGROINDUSTRIALES 2000 - 2017 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,$ Pesos/Tonelada,
Papa/4 ,492829.37934979424,439052.69617359294,485940.7790185607,463127.3921727641,413505.4488193462,529416.5871775376,661102.0116217927,389320.3922882719,779627.5966153028,807379.5093333335,890260.8825833334,785274.3750099528,544132.215720304,419054.32450408745,371338.96104462934,482740.6493580181,663445.9871632082,443457.0439795895
Tabaco*/1 ,3474497.2335944534,3671998.934761127,3941800.541397295,4689690.7238990255,4973051.077476181,4821916.301581062,6056483.0508881435,3617584.645544194,6675476.822348292,6615974.660204895,7188287.513174745,9890000.030691385,5656000.0,5538000.345318314,5838921.170015584,3306564.83189424,3459256.791530689,3865088.067691959
Cebada/2,304732.08479605225,334388.1768116709,349821.32754016813,409577.9267867638,413917.3789628554,396274.9587885286,416186.87314237753,536540.780141844,818383.333333333,852472.4650080154,875730.7659699096,963077.7723825375,1026665.4912751261,942543.5858305584,992880.2102602044,1176451.6998859288,1215391.0848960245,1207350.1523191812
Fríjol/4 ,833466.0216783226,967016.1542081775,1166869.803515976,1165577.48531247,937465.5862486447,1166930.8333333335,1059941.1077506084,1312778.9072860244,1336530.044576915,1359953.1381666665,1524438.332877323,2859676.0,3341262.0,2431491.0,2586064.875560447,2792950.0656052832,2824925.342049402,2671970.7691611648
Maíz/5 ,422337.32982599863,473726.9070688177,485166.37663433154,542997.5012198208,523525.19832396857,506049.9891398129,543426.9805950745,634459.5048451086,694007.9675759661,687546.46691837,659322.475371839,799889.0811410528,740963.5153971934,700698.2604774542,656035.24636223,881475.4088396616,1029092.9032856527,922233.4269237177
Maíz Amarillo,413841.75,464237.90314025944,468607.5,524125.1132995689,515659.0833333333,490158.1639182254,528073.8936435544,584325.8845925134,676852.518956793,628069.9380723938,607294.6575672801,746783.4995326981,705090.7484364692,673162.1951067139,632831.4375874728,829904.974758183,1003676.8506056528,940012.597577389
Maíz Blanco,432999.9166666667,489166.0497165588,516712.3333333333,585703.1959084688,541257.4166666666,542341.2360549415,580229.129472003,710734.0651864912,724320.7995206447,815689.7730060531,750082.413119536,882946.7025027772,787357.2740029456,740360.8133812958,692051.6208311118,962152.5664742411,1074256.4406928692,895438.9519036318
Sorgo/5,363155.0,413695.0093297432,414279.4166666667,450252.8333333333,463767.9166666667,445559.5386420709,483303.5136871195,527883.3297534364,660551.7996192056,594596.4970240836,581286.1965286379,660885.6215518801,592648.899903818,580672.1578582996,603477.2535965553,823004.6612475315,1275417.7977773824,1172132.4301046126
Soya/5 ,645206.8333333334,683819.2473147295,725339.5833333334,862648.8983988389,962943.5833333334,828009.6928932033,854808.3991448962,983050.4839073612,1187111.0322153245,1078164.6207084584,1013327.1367672146,1167214.1733049161,1201406.9411058475,1185119.3897737942,1196114.935002533,1267566.666688732,1431620.8333333333,1461866.6666666667
Trigo /2,417759.27824817994,458415.0155801976,479572.4264046844,561493.1528963862,567442.137262032,543256.0239993064,564584.0074308385,579869.0747800514,763269.9742629047,816460.2540205192,847021.6272675555,898345.1358467463,890168.8967115172,808700.4824966728,724776.1342794108,771873.5377720981,785316.8203832227,732456.164504725
Maní*/1 ,2740012.364142434,2863664.2419597683,2714538.3270585146,2916697.6367150964,2714538.3270585146,2881146.088668795,2484399.38657838,2505468.331473013,3132435.0618708287,3015149.3942115554,3260785.9802762284,3239331.8840548806,4262252.67694682,3377747.069539,3483551.5687756105,5018300.72076555,5698292.967612865,4525398.409637339
Hortalizas/4 ,629460.6651475092,587560.6548472444,711043.8741580417,690006.677438559,817775.1124825651,647487.5769886358,836657.7049792698,778586.915973723,858644.6710267289,905606.5671737446,1167226.3001509313,1363008.192328077,1550400.2688726853,1623448.1549062075,1726653.4199371326,2538180.527307585,3072218.648524588,3840392.916711375
Permanentes ,,,,,,,,,,,,,,,,,,
Banano exportación/3,555983.4121234502,645197.6497420067,694330.9418801524,792294.4286238226,732478.143283618,678277.5010283588,722470.506347974,682800.8853670723,729127.0,869563.4552835395,869563.4552835395,801787.2067727541,839965.728023559,890689.2658920647,1002917.1494899867,1351245.3474541407,1465947.3380259678,1419734.097424954
Cacao/3,2245439.75,2253404.5,3525369.4166666665,4555669.0,3996875.5,3704866.6666666665,3903943.25,4506454.916666667,4471737.0,4634257.166666667,5275181.5,5496117.5,3968469.1666666665,4132853.420687718,5492913.166666667,7096732.5600088835,7096801.72667555,5044583.333333333
