Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,1000,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
TABLA 113. IMPORTACIONES DE PRODUCTOS DE ORIGEN AGROPECUARIO Y AGROINDUSTRIAL. 1992 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,(Miles de US$ CIF)
D E S C R I P C I O N,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
    6 Plantas Vivas y Productos de la Floricultura,15189.560999999998,12498.907000000001,10895.289999999999,10509.071999999996,12137.335000000003,11282.111,13077.186000000002,16490.589999999997,19337.372,18443.358,19228.409,23568.342,22060.771,21040.61848,21544.22178,22402.28526,19878.9756,21765.894299999996,22592.498079999998,28058.54975,30236.244450000002,27647.156720000003,28572.651620000004,27561.207430000006,31419.442100000004,35249.755939999995
"    7 Legumbres, Plantas, Raíces, tubérculos Alimentic.",41063.309999999976,28153.25,55192.428,60126.920000000006,66553.40500000001,98276.88900000002,82950.44200000002,74153.57499999998,91782.84199999999,70963.788,71548.68399999998,62668.763,65293.617000000006,73790.84300000001,70001.02713,86081.21658000001,104851.15172,104516.04176000002,155303.10869,181832.01799000002,184800.03260000004,151208.50789999997,151145.57275,163766.04422999997,195777.14229,176387.62209000002
"    8 Frutos Comestibles, Cortezas de Agrios y melón",24197.971999999998,34396.74100000001,58414.788,88690.19300000001,88367.04399999998,102276.085,81407.71200000001,73537.01900000001,80774.22700000001,68468.372,67604.98999999999,64636.795,75351.52700000002,82461.93611000001,87938.15151000001,118988.31377,132527.96255,137044.60254999998,168725.5268,212654.79524000004,260613.81759000005,261846.31968,287158.16475999996,228541.35598000002,208629.80922000002,219693.42947000003
"    9 Otros Café, Te, Yerba, Mate y Especias1",632.1239999999999,826.0989999999999,990.691,1586.0729999999999,1739.7639999999997,1603.6799999999998,2158.0739999999996,1864.3400000000001,1502.365,1274.549,678.881,981.288,1056.656,1207.0414100000003,1253.6349300000002,1823.4077899999997,2005.40328,1767.42681,2623.6287300000004,2836.59474,3514.14816,3478.37651,4224.078890000001,3749.1879699999995,4127.67733,4091.38109
   10 Cereales,241571.258,264494.429,390951.478,450621.5290000001,694608.771,588044.584,613459.0850000001,405128.30600000004,418256.95600000006,466149.20999999996,508296.6379999999,543405.809,646166.513,626272.9712000001,868533.5532600001,1192015.65536,1651684.73386,1180134.90946,1279855.5093800002,1710295.14471,1922656.9057299998,1852230.13482,1689698.57651,1649779.3443299998,1555160.89556,1510751.1523399998
"   11 Productos de Molineria, Malta, Almidones y Fec.",3634.633,6081.700999999999,11880.671999999999,21579.878,27378.912000000004,26507.543000000005,18118.246,18769.268,11723.362,8699.690999999999,5313.188999999999,5456.576,6410.577000000001,6615.836969999999,11656.20218,35388.464239999994,37043.50931999999,20204.84292,20157.46252,17555.04983,22590.655259999996,24142.001639999995,26182.967770000003,23537.56099,31667.20133,41342.02411
"   12 Semillas y Frut.Oleag., Semi., simiente, frut.div. Plan.Ind. y Med.",47676.46399999999,77433.083,78340.419,70908.72699999998,116791.52899999998,120129.62299999999,87732.62699999998,81743.752,104661.87900000002,110448.23400000001,152020.0859999999,137586.85300000003,161668.41100000002,133660.30267000003,137650.17356999998,167843.8389,173850.11014,190329.05342999997,209175.35685999997,220094.57357999997,250647.48057,271218.42041,308443.38156000007,296487.28309000004,287451.46583,294396.7163600001
"   13 Gomas, Resinas y Otros Jugos y Extractos veget.",15647.721,6282.532999999999,7920.875000000002,12468.386000000002,9708.794000000002,14724.475000000004,12647.721,10777.616,10879.738000000001,10579.056999999997,11965.921000000006,13511.001,12899.837,12422.58575,13855.23512,16022.39581,20279.60656,17969.13242,24083.480189999995,23755.814850000002,21892.88526,21225.6015,23782.106490000002,22370.720610000004,20484.765539999997,19101.396660000002
   14 Materias trenzables y demás productos vegetales,117.915,376.469,919.9390000000001,438.567,724.682,1015.8310000000001,633.7220000000001,760.429,614.402,656.2470000000001,651.0880000000001,992.1320000000001,1128.243,1366.4130100000002,1081.32413,1405.1071100000001,1466.6503400000001,1094.7697300000002,1550.82923,1573.32364,1770.0419100000001,1215.96294,2018.8747899999996,2314.3350699999996,1885.74636,1676.7994800000001
,,,,,,,,,,,,,,,,,,,,,,,,,,
 III.  GRASAS Y ACEITES (ANIMALES Y VEGETALES).,48608.64500000001,83198.15700000002,92172.062,124059.58999999997,138564.68799999994,126974.971,179573.932,161094.71799999996,128530.73800000004,120520.643,121157.70000000001,154273.36000000002,178900.76,167821.00272,174432.60219,244822.54246999996,418497.06539999996,295252.48079999996,457367.39773,619624.9446600002,640223.05254,522394.53771000006,593034.1867099999,494966.83339999994,600428.03669,598141.79973
   15 Grasas y Aceites (Animales y Vegetales),48608.64500000001,83198.15700000002,92172.062,124059.58999999997,138564.68799999994,126974.971,179573.932,161094.71799999996,128530.73800000004,120520.643,121157.70000000001,154273.36000000002,178900.76,167821.00272,174432.60219,244822.54246999996,418497.06539999996,295252.48079999996,457367.39773,619624.9446600002,640223.05254,522394.53771000006,593034.1867099999,494966.83339999994,600428.03669,598141.79973
,,,,,,,,,,,,,,,,,,,,,,,,,,
 IV.  PROD. DE LAS IND. ALIMENT; BEBID; LIQ-ALC. VINAG; TAB.,141122.424,205320.64600000004,294504.40300000005,387950.56599999993,479011.713,519821.455,540747.1959999999,493649.454,497285.50499999995,558542.583,552694.068,561506.471,633905.93,684184.96055,855067.5257299999,1086068.98446,1370124.96847,1261902.34975,1476692.63585,1745578.1159499998,2236556.2946699997,2353657.9671899998,2356763.41148,2294042.60031,2481686.85955,2465143.41292
"   16 Preparaciones de carne, pescado, crustáceos, moluscos",25918.523999999998,35687.952,45925.72600000001,59534.09300000001,67141.32,66363.29399999997,74232.56999999999,48797.833,55990.63799999999,57565.084,63219.853,62337.391999999985,61808.17800000001,86073.07868,89369.44759,111999.51971,163208.78851999997,157870.45203000001,179962.69195,215688.79532,236139.13617,249427.80494000003,270196.2472,252416.10084,224330.45946999994,209263.28252
   17 Azúcares y Artículos de Confitería,9513.887000000002,10927.254000000003,28862.000999999997,50600.786,22403.739,23419.106,21357.224000000002,19604.977000000003,18872.258,35788.495,38902.475000000006,45389.272999999994,27060.902000000002,41730.05314,86944.45971,100515.75074999998,108893.34296,91557.15672999999,144995.27116,175190.82663,253924.79458999995,209603.06864000004,116740.18586999999,86649.12222000002,193946.85726,167262.48974
   18 Cacao y sus Preparados,1830.38,4531.2080000000005,5952.1219999999985,9988.304999999998,6860.327000000001,10266.164000000002,12463.095999999998,18068.190000000002,15912.924,13356.692,28737.578,18048.643000000004,19589.034999999996,24821.32449,31822.004670000006,46174.42312,41763.25631999999,39701.30872,70778.75150999999,90178.59521999999,74231.98884,62815.16574,79743.64207999998,74312.87208999999,72820.77673999999,52167.98133000001
"   19 Preparaciones a base de cereal, harina, leche; pastelería",5057.702,18397.42,25591.797999999995,40321.138,46181.830000000016,50385.26899999999,47033.97000000001,43770.020000000004,44440.87699999999,66889.78600000002,57407.697,52423.636,52882.12700000001,57805.82142000002,75845.89915,96317.05191000001,119844.59435999997,101589.66311000001,113439.57969999999,147843.28665000002,179318.29997999998,195729.54204999996,208870.9306,213308.71797000003,203154.4857,189822.84091
"   20 Preparaciones de legumbres u hortalizas, frutos, otras",5409.682999999999,10551.608,13996.657000000005,20162.989999999994,23775.357,31076.683999999994,36746.273,25386.618000000006,26006.535,25131.975000000002,24490.082000000002,21292.456000000002,28719.550000000003,31301.769700000004,38140.23937,49604.350969999985,64581.84648,50260.75202,66605.37675,82574.87269999996,104413.66807,126317.66016,142697.29209,143400.70211,136131.36529999998,133705.85511
   21 Preparaciones alimenticias diversas,11332.515000000001,20163.428,26940.68,35233.837999999996,41406.07699999998,52116.54900000001,82638.628,73392.27500000002,73123.46699999998,80185.471,94027.991,92223.861,92557.13,99887.19305999996,116769.68840999999,128959.17610999999,142019.13619999998,163826.44876999996,177856.17667000004,212145.7586,276344.47785,294222.34852000006,304998.06122000003,339708.08549999987,355865.18792000005,353008.86043
