TABLA 92.  INDICE DE PRECIOS AL CONSUMIDOR. SUBGRUPOS DEL GRUPO DE GASTO DE ALIMENTOS. 1995 - 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Años,   Ene,   Feb,  Mar,  Abr,  May,  Jun,  Jul, Ago,Sept, Oct,Nov,Dic
,,,,,,,,,,,,
CEREALES Y PRODUCTOS DE PANADERIA,,,,,,,,,,,,
2005,64.149004,64.40298,65.104051,66.181857,66.479309,70.263464,68.794543,65.031588,65.327202,67.938722,69.139441,70.84813
2006,75.292834,74.171211,68.753763,71.248349,76.485164,81.324327,86.239413,82.983854,79.220671,72.907001,72.054977,70.593209
2007,71.673508,78.104167,85.252545,87.746883,85.321396,82.796667,83.806444,76.851204,76.609486,72.733926,75.923003,77.72178
2008,83.350213,84.979894,80.180451,77.068806,79.415396,89.14833,93.130812,94.625812,92.406975,92.42661,92.671063,100
2009,102.593372,100.983973,97.984009,96.425296,94.571509,93.419183,93.561692,94.269033,93.652044,93.230442,92.169099,89.179272
2010,88.211097,92.941742,95.63189,101.372037,104.606709,106.145916,105.380756,105.537063,101.622893,95.840524,94.700017,102.838363
2011,107.282503,106.426173,104.95097,105.046703,109.83144,114.648395,115.971861,110.635906,104.532364,100.082761,99.348036,105.411139
2012,113.453778,115.9516,108.843701,105.59095,103.607241,103.639783,103.852363,99.69887,99.788062,101.809804,101.895773,101.665138
2013,103.06,103.9,104.9,104.23,105.31,103.76,104.86,103.53,104.18,98.08,96.92,100.7
2014,103.89,102.71,102.48,104.41,109.21,107.46,110.03,110.67,110.99,110.24,110.25,110.08
2015,115.24,122.87,124.13,126.75,125.48,129.83,134.93,140.92,146.53,153.24,156.78,155.79
2016,165.08,167.07,174.03,177.19,177.08,178.74,182.25,159.5,145.11,143.21,144.64,153.26
2017,162.42,164.47,160.61,160.8,167.26,172.12,170.58,163.89,154.54,149.11,148.33,151.4
FRUTAS ,,,,,,,,,,,,
