Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
TABLA 98.  SEMILLA CERTIFICADA VENDIDA POR LOS PRODUCTORES Y DENSIDADES DE SIEMBRA A NIVEL SEMESTRAL. 2002 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Miles de Kilogramos),
Producto,Densidad de,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
,Siembra (kg/ha),A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosoera 11-39,,,,,,,,,,,,,,,,,,,,,,,,,6.65,,,,,,,,
QM 1010,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,5.44,,,,,,
Selecta 3-20,,638,304,838,424.1,,38.05,108.11,19.72,52.12,,12.155,,16.12,,,,,,,,,,,,,,,,,,,
SH 01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.2,71,9.5,,
SH 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,2.5,,
SH 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5,154.8,218.65,781.25,252.55
Tailandia ORO,,,,,,,,6.249,,835.588,783,183.1,154.3,59.05,96.05,,,57.05,,,10.6,,,,,,,1189.9,252.9,,,,
Triunfo 960,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.35,344.8,,,,
Victoria 10-39,,,,,,,,,,,,,,,,,,,,,,,,,342.45,,,,,4231.52,664.6,3014.05,188.4
FRÍJOL,80,3,2,9.8,15.1,20.669,4.16,12.41,14.32,16.711000000000002,43.775999999999996,22.401999999999997,19.901999999999997,15.640999999999998,15.891999999999998,43.2103,79.613,1.181,0.5,4.1579999999999995,4.088,1.561,7.4830000000000005,0.44,0.97,0.51,1.56,0.615,0.893,5.165,0,0,0
Corpoica Florian,,,,,,,,,,0.171,16.522,0.299,2.006,,,35.34,36.53,,,0.3,,,,,,,,,,,,,
Corpoica Radical J1J1,,,,,,,,,,,,,,0.225,,,,,,,,,,,,,,,,,,,
Diacol Andino,,,,,,,,,,,,,,0.017,0.045,0.35,0.128,,,,,,,,,,,,,,,,
Diacol Calima,,2,2,5.9,2.4,8.489,3.955,1.78,,9.977,8.264,11.594,9.981,10.12,13.02,2.3,40.366,0.825,0.35,0.956,2.764,0.981,6.323,,,,,,0.213,,,,
Diacol Nima,,,,,,,,,,,,,,,,,0.696,,,,,,,,,,,,,,,,
Facianar 1,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,
Ica Bachue,,,,,,,,,,0.093,0.124,0.091,0.084,0.703,0.392,,,0.05,,,,,,,,,,,,,,,
