Arracacha,5500.0,5000.0,6500.0,7876.0,6240.0,6228.0,6710.0,7065.6,6130.5,5522.5,7605.0,6539.900000000001,8328.6,7464.35,8768.189999999999,8188.34,8036.7,8257.51,8106.6,7662.0,7037.5,6482.0,5018.0,6612.0,7212.0,7499.5,7410.0,7708.0,7477.0,6479.0,8527
Caña Miel,0.0,0.0,0.0,0.0,0.0,5051.333441558441,7880.914285714285,8167.262012987014,9219.964935064934,8654.415584415585,9653.954220779222,8490.91525974026,8085.516071428571,6750.00487012987,6023.691233766234,4930.018831168831,6088.550324675325,5398.8435064935065,6021.630194805195,6751.783766233766,6051.0,5427.35,5568.0,3946.0,3941.998086124402,4048.0,3576.0,3351.0,3565.0,2987.0,3514
Caña Panela,226598.16017316017,222222.46753246753,207844.00432900432,197988.99761904762,194423.9194805195,191145.11536796537,196085.62857142856,209808.50584415585,210992.4207792208,207554.94632034632,211379.89935064936,209061.76688311686,212301.26547619049,213032.6248917749,214375.7551948052,210976.25,213605.31,215864.5,206391.91999999998,201273.0,198544.0,196950.0,194926.0,198807.0,197117.0019138756,202871.0,212996.0,204262.0,200704.0,191258.0,205692
Cocotero,14800.0,14300.0,19770.0,15860.0,17916.0,10709.0,10028.0,11043.0,9987.0,11893.0,12544.0,10916.0,13933.0,14076.0,11711.3,12412.8,12948.8,14671.0,14030.0,13980.0,15187.0,14677.0,13524.0,16090.0,15735.0,16725.0,15918.0,17142.0,17220.0,16838.0,20367
Fique,19300.0,19540.0,20770.0,15756.0,17096.0,14664.0,16006.0,15388.0,18153.0,22175.5,21021.6,18310.600000000002,17097.9,17986.800000000003,16802.4,17391.4,17303.4,16638.6,17010.5,17184.5,18706.0,17964.0,18701.0,19646.0,18939.0,16359.0,15145.0,11969.0,13971.0,10932.0,12330
Ñame,15700.0,16100.0,20100.0,4547.0,6422.0,6761.0,6059.0,11709.0,11393.0,18710.41,12331.6,15294.0,20527.1,23038.63,21815.0,21721.0,24070.0,26189.0,24532.0,25595.0,25631.0,28729.0,35916.0,36168.0,35652.0,31466.0,33207.0,29215.0,26108.0,35915.0,31327
Plátano,358900.0,361720.0,372300.0,344803.0,347035.0,356678.0,371225.0,375369.64999999997,385875.9,385174.12000000005,373089.1,366035.36000000004,341003.58999999997,376894.84,381796.19999999995,364806.8733333333,364438.33999999997,371855.3,364149.1,356974.0,360898.0,340902.0,333375.0,352115.7,357549.0,380394.41000000003,588922.56,386608.0,389409.0,398839.0,400274
Yuca,159100.0,148800.0,170600.0,207310.0,173996.0,181255.0,186499.0,189602.56,182697.2,198472.4,182070.9,177028.97999999998,179966.5,179347.74000000002,190197.20999999996,168225.24,172444.5,175077.94,174231.1,188485.0,188338.0,183003.0,180560.0,167782.0,174768.0,182633.5,209698.0,180213.0,172619.0,194547.0,190853
Frutales,48100.0,60550.0,65600.0,70900.0,93072.0,113363.85,100696.6,110250.85000000002,124458.60000000002,136762.20800000004,139318.45,149274.04,152908.0,162170.82,168061.32999999993,184489.52,197401.94999999995,204049.95999999996,212559.09999999998,222536.57,225016.16999999998,222523.0,222424.1,236847.8,238480.95,257789.4,273621.0,285295.4,292493.16999999987,299370.89376251365,325378.8462985474
Café,,,,,,,,,,,,,,,,,,,,,766477.0,758306.0,754651.0,744318.0,712387.0,710462.0293839095,771799.98,795563.1900000001,801082.0,777704.9180327861,753298
Total Cultivos,3157026.16017316,3307602.4675324676,3566374.0043290043,3735409.9976190478,3620107.1194805196,3409337.174809524,3415495.894857143,3435027.9238571427,3357450.191580952,3210199.345904762,3097389.223571428,2865678.0649428563,3034145.513547619,3128987.718161905,3143497.0024285717,3031950.152164501,3146047.5203246754,3289786.6635064934,3219290.220194805,3211415.0037662336,3982329.67,3935582.2,4035126.0500000003,3916478.5,4014575.25,4143124.1713839094,4527744.54,4288713.381,4321909.004,4471914.8659953,4610638.861298548

