Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
TABLA 116. BALANZA COMERCIAL  DE PRODUCTOS DE ORIGEN AGROPECUARIO Y AGROINDUSTRIAL. 1992 - 2017,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,(Toneladas)
D E S C R I P C I O N,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017
    6 Plantas Vivas y Productos de la Floricultura,124404.83900000005,132315.20099999997,137527.15999999997,138042.34200000012,140406.4489999999,146918.87500000003,145800.041,146962.65999999995,168954.586,180288.62399999992,187569.1709999999,195163.81699999998,189614.6649999999,220332.92766999992,221436.46837000005,230517.28784,220084.82811,204935.52959,217502.73045,204269.47016000006,198533.49907,207878.93115000002,219371.6877499999,219543.37258999996,231658.68336999987,242785.4191400001
"    7 Legumbres, Plantas, Raíces, tubérculos Alimentic.",-57241.61899999998,-22432.485999999975,-79346.53900000002,-76049.41700000002,-93729.16999999995,-179281.659,-167779.709,-119135.319,-191185.62800000003,-167148.93400000004,-177667.022,-151144.168,-161833.74999999997,-180870.50183,-173545.9036999999,-162046.33750999998,-146975.77439000004,-192121.55729999996,-273286.52183000004,-297205.45097,-282893.24230000004,-230609.69178999998,-238032.67695,-181920.59749999997,-206627.40194999997,-191360.82403999998
"    8 Frutos Comestibles, Cortezas de Agrios y melón",1362340.0130000005,1509839.9469999992,1596819.5379999992,1186361.404,1318772.2830000008,1397181.5459999996,1416877.66,1715987.1849999998,1483371.7690000003,1308113.6430000006,1429439.684,1374302.1079999995,1400097.293,1576839.6084099999,1544765.53988,1542874.8385500002,1629194.1491299996,1896945.53689,1635694.0687600004,1675930.9230199999,1604065.0874100002,1441623.8811499996,1586581.4720399994,1505756.28342,1825133.55438,1909771.9943799996
"    9 Otros Café, Te, Yerba, Mate y Especias1",342.0050000000001,1935.8309999999997,578.787,906.835,1283.8180000000002,971.3050000000002,2771.474,2243.179,1015.0060000000001,2453.828,2221.5290000000005,2127.8540000000003,3621.197000000001,2654.86146,1634.7121,1777.91971,1085.61739,731.46444,1059.7843,1493.37192,1067.7623100000003,2118.55704,1100.1253800000004,968.0239599999998,2947.8313000000003,3551.5262000000002
   10 Cereales,-1493662.9519999998,-1713775.5109999995,-2372521.3830000004,-2506901.6380000003,-3192125.2110000006,-3203513.716,-3793659.4149999996,-3086564.008,-3255473.259,-3427965.454,-3637621.5599999996,-3568076.154,-3875681.385,-3999812.1123499996,-5031005.9847800005,-5081348.283650001,-5170461.28893,-5126727.9841100015,-5466218.29432,-5131687.017550001,-5980301.46379,-5964880.268370002,-6246567.97405,-7009729.678400001,-7319266.180539999,-7248973.72923
"   11 Productos de Molineria, Malta, Almidones y Fec.",34551.176,-16411.718,-11873.458,-30055.821000000004,-49021.22100000001,-29580.950000000004,-9209.963,-31747.386999999988,465.2009999999941,11354.994999999999,32847.232,82060.443,49433.147,53332.003809999995,24770.18916,-38114.38541,-23451.895190000003,-5715.908850000005,10330.179210000002,20651.44759,21708.916759999993,7969.30495,13393.727750000002,-12131.83574,-34329.39581,-12383.014360000001
"   12 Semillas y Frut.Oleag., Semi., simiente, frut.div. Plan.Ind. y Med.",-131494.047,-217044.28999999998,-232341.889,-187919.559,-307427.69800000003,-297073.331,-239988.8169999999,-216347.77500000005,-319832.3809999999,-432618.576,-589464.4919999999,-395754.91199999995,-344123.42699999985,-300679.78337,-312293.36231999996,-292064.0412099999,-169687.96352000002,-304026.2825299999,-367366.05183,-273271.98732,-290109.46984999994,-369040.25486999995,-464186.93767999986,-596871.6477900001,-553074.4193099999,-558315.9814599999
"   13 Gomas, Resinas y Otros Jugos y Extractos veget.",-1117.696,-577.056,-705.1589999999999,-858.6969999999999,-856.8700000000003,-1187.834,-1042.7470000000003,-894.3049999999998,-936.6380000000001,-1061.653,-1495.3840000000002,-2250.323,-2256.3410000000003,-1370.27755,-1317.75759,-1578.66804,-1663.8394200000005,-1413.04975,-1752.5671500000003,-1739.4319699999996,-1633.8034900000002,-1705.423,-1827.03207,-1972.4556800000003,-1883.20743,-1679.8525800000002
   14 Materias trenzables y demás productos vegetales,292.63399999999996,99.63999999999999,-871.0650000000002,1672.571,1021.9299999999997,1988.7960000000003,635.901,984.5030000000002,29.782999999999973,411.2109999999999,-16.468000000000004,1332.356,2520.35,2206.5198,1369.2435199999998,1959.17115,1820.7477999999999,-68.40763999999997,849.7158399999996,607.4469999999999,524.71115,380.14635,-108.46778000000009,-269.98013000000003,-1102.7447,-909.4145499999998
,,,,,,,,,,,,,,,,,,,,,,,,,,
