Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Tabla 38. VALORACIÓN DE LA PRODUCCIÓN AGROPECUARIA. 2001 - 2017,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(Millones de $ de 2005),
Años,2001,2002,2003,2004,2005,2006,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016,2017.0
Arroz Sec. Manual,60953.66207553333,47946.54595833666,51797.15688489166,51933.01712974999,45033.591402251666,45957.542920033324,42378.663800166665,48034.82965430833,55039.200489314564,59322.20744006666,61230.89958893749,83467.19283033333,85413.14610841665,90006.70490791666,86389.23491466665,101577.17673991666,94640.43895683331
Arroz Total,1408218.3723491915,1411903.619685753,1519449.3785996416,1650509.7562649914,1423128.1316939034,1363919.6145511998,1389307.5429396166,1555892.8566092248,1713925.6094273976,1386053.8004157331,1338983.7708884373,1433550.2817278581,1437358.3861088331,1295384.7131561665,1407352.00158325,1781504.0994006665,1818538.889179833
Papa,1474500.9812738968,1471480.474348243,1525589.7084073587,1483903.4463329993,1372918.3530134966,1508094.660809148,1488072.496073705,1486425.4810709956,1553242.6191220854,1719310.5436045225,1671269.3236426602,1566218.0902572197,1496874.5762521187,1628991.5444154474,1854061.8887056466,1838805.1614963645,2039738.8741605526
Cebada,2421.953293123729,2669.862907341832,2000.950776906796,1425.8765567128835,1300.574414743951,1236.7741463789976,1549.0388139043582,1585.496110112903,2014.2656155220907,1518.5256420776416,1265.70221837056,696.2551025914447,1205.468424634704,931.2461531530422,642.3617081962047,1011.6899697871135,923.3206539772716
Fríjol,143756.42652691668,138229.78375370835,146261.27856859166,148701.8210520417,164783.30653551666,157804.05659166668,179827.54220916668,169563.2185991667,171558.67032416668,159433.09203500004,151313.68065113336,160160.34666895002,166575.87566583333,173904.20129916669,163112.42495250003,155651.06920416668,156983.70421583334
Maíz Tecnificado,267711.0477108629,263886.11963241413,277687.250668595,328175.47755718103,315289.8805997912,322736.08013247326,314625.82707901334,316571.4583771338,309574.3673946808,261009.95362532252,261697.6258052171,329699.94315124385,382353.7229167583,376339.81551723904,377069.11115848925,510091.2200144949,529120.6775718334
Maíz Tradicional,325531.08545250754,308660.1786185288,322740.34868671186,361448.1346209529,346946.0958522203,357706.8479813391,351968.09037423716,329523.7894259682,317067.0961915758,279669.65525803,281140.7487515233,281341.3303405107,308215.40942794055,305932.44096427644,267433.0150981923,246167.62409427448,274717.8794647448
Maíz Total,593242.1331633704,572546.298250943,600427.599355307,689623.6121781339,662235.9764520115,680442.9281138123,666593.9174532505,646095.247803102,626641.4635862566,540679.6088833525,542838.3745567404,611041.2734917545,690569.1323446989,682272.2564815155,644502.1262566815,756258.8441087694,803838.5570365782
Sorgo,94625.39512743276,99182.16149049523,109745.24865826828,110548.48111655525,97966.60155175578,75048.26645071585,58160.89159687341,27824.302069120044,27540.035083466402,21106.600905013544,20058.19931058875,10722.835856960077,8138.144973297425,8609.101405642094,4622.234653872843,4595.946641092962,3451.7497458601233
Soya,46083.62466669484,50442.93009783897,47781.74834536486,57161.566347913,48017.44130444691,40212.29073535842,46072.11533196362,46029.886837626065,52822.87835812191,48250.608833965634,58930.277852902174,86531.98096549712,71161.63703632058,75287.6093360074,84914.87803527669,87687.88249677602,136942.8670882211
Trigo,14948.966151997312,19801.855916702396,22483.421976765374,23440.89985394367,27168.885667434108,21560.85373168927,23877.18876681751,14268.076214317784,10915.100034194063,7883.188164253935,6928.687330087153,4883.871655753765,4534.55803232221,3520.8422915395045,2316.9869423570417,1730.270436437791,1598.8024786299586
Maní,9231.192068094819,5731.463914188834,6396.144316844725,5297.563313235313,8222.790937060741,9695.056588370495,7476.574100095523,10228.068614774222,9098.659348016054,14898.406424506338,12633.825598812666,8879.692245277225,6191.58294454924,5062.173677791073,5459.771838027366,7228.795536470006,11449.674556369791
Hortalizas,966160.1108705645,761330.1970572083,772378.6287617448,767994.3283693916,799885.3441373709,919554.0725797465,940260.1008800108,992679.4124430164,1019922.116860213,986461.5288097005,1000936.5245671652,1101026.0907301723,1146260.8023261623,1088220.7159169107,1075447.4228798372,1122603.9384256718,1235461.9009641218
Permanentes,9242366.37143899,9381204.481960025,9815437.80986555,10008618.931577677,10440608.909054857,10661852.604903543,10864662.7152826,10388555.191099273,10657390.698385775,10928106.130696472,11251201.008792374,11463009.67284971,12245737.558798334,12122160.889581047,12405537.28441815,13017120.03743801,13954232.464137135
Banano exportación,932845.2213268173,966079.4623222048,949331.4342668126,946678.0126827897,1019517.5552407241,1030565.339177474,1113062.1967950503,1241969.5141429908,1198973.5033528032,1177185.1951872692,1222532.1157960212,1080021.2648874556,1182059.297309659,1012677.126642853,1158265.3225735843,1128865.38429151,1211543.3420018605
Cacao,161604.283372,177441.43986333333,184420.11196,184051.95935933333,184137.06014666666,198947.6351333333,212910.01794533335,217441.40331666666,221087.9183333333,255646.9146,277854.62637333333,301462.40726,290324.4666,306803.7135333333,321652.81913333334,321178.5962,339195.3628
Caña Azúcar,912648.5620013394,888515.6687490117,936768.3716071453,958876.5598359354,941857.7385152898,952243.7687691248,911089.3345135633,827918.5668462308,1012979.4543717522,869637.5111174228,975829.4481575518,893847.7909216364,925903.6257411008,745036.763309061,745036.763309061,745036.763309061,745036.763309061
Plátano Exp.,65462.627789791266,62726.78660088377,63900.147374042266,59783.88174612476,65508.14178397601,63063.89025012026,56024.225764951516,58002.83412753251,61016.76081937101,68928.1933470015,64568.35282712826,66516.45180899202,65848.74650968827,53337.399646704514,55003.91204916152,62934.35042051752,56918.50072761451
Total Tabaco,126128.2630561833,127300.03693663052,157162.16459232205,158656.23535836692,167422.1416605002,151369.5965392327,133027.5091196485,101954.59828062999,78389.89331480334,89899.80752667732,86013.34298760298,107287.63771017863,108989.77416463675,114665.16965159765,94533.66909249673,70149.23835540129,70448.19716609933
Palma de Aceite,546918.0464999999,584754.9796666666,615525.1778083333,677753.8747583332,736945.6628333332,781750.5511666667,819162.7418333333,888285.7719166667,939468.3322499999,1012726.6117499999,1170726.4654166666,1238879.7757,1314199.0365,1475397.5279166666,1573898.5809166664,1702764.3663333333,1893710.0799166665
